price,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,instant_bookable,host_is_superhost,host_identity_verified,bathrooms
125.0,East Boston,Entire home/apt,Entire rental unit,2,1.0,1.0,29,1125,326,26,0.21,4.96,0,1.0,0.0,1.0
129.0,Roxbury,Entire home/apt,Entire guest suite,2,1.0,1.0,3,90,67,138,0.69,4.82,0,1.0,1.0,1.0
168.0,Roxbury,Entire home/apt,Entire condo,4,0.0,2.0,3,730,56,141,0.72,4.81,0,1.0,1.0,1.0
140.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,2.0,91,365,277,29,0.21,4.69,0,1.0,1.0,1.0
166.0,Back Bay,Entire home/apt,Entire rental unit,3,0.0,1.0,91,1125,218,9,0.08,4.33,0,0.0,1.0,1.0
202.0,Back Bay,Entire home/apt,Entire rental unit,2,0.0,1.0,32,1125,117,6,0.08,5.0,0,0.0,1.0,1.0
202.0,North End,Entire home/apt,Entire condo,2,0.0,1.0,60,1125,330,2,0.1,4.5,0,0.0,1.0,1.0
162.0,Dorchester,Entire home/apt,Entire rental unit,6,3.0,3.0,30,360,286,51,0.27,4.3,0,0.0,1.0,1.0
323.0,Charlestown,Entire home/apt,Entire rental unit,2,1.0,1.0,2,28,173,103,0.55,4.97,0,0.0,1.0,1.0
91.0,Jamaica Plain,Private room,Private room in home,2,1.0,1.0,14,120,341,103,0.56,4.98,0,1.0,1.0,1.5
176.0,Charlestown,Entire home/apt,Entire rental unit,3,1.0,1.0,29,1125,44,143,0.78,4.67,0,1.0,1.0,1.0
59.0,Dorchester,Entire home/apt,Entire home,2,0.0,1.0,3,365,61,334,1.82,4.45,0,0.0,1.0,1.0
72.0,Roxbury,Private room,Private room in rental unit,1,1.0,1.0,29,31,233,145,0.81,4.73,0,1.0,1.0,1.0
106.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,1.0,32,365,114,19,0.13,4.84,0,1.0,1.0,1.0
140.0,Charlestown,Private room,Private room in rental unit,2,1.0,1.0,29,730,365,71,0.42,4.36,0,0.0,0.0,1.0
225.0,Roxbury,Entire home/apt,Entire condo,6,2.0,3.0,3,365,45,317,1.85,4.71,0,1.0,1.0,1.0
62.0,Jamaica Plain,Private room,Private room in condo,1,1.0,1.0,30,90,305,66,0.39,4.97,0,1.0,1.0,1.0
174.0,Jamaica Plain,Entire home/apt,Entire rental unit,2,1.0,1.0,3,150,107,570,3.36,4.89,0,1.0,1.0,1.0
133.0,Jamaica Plain,Entire home/apt,Entire home,2,0.0,1.0,3,60,218,330,1.93,4.9,0,1.0,1.0,1.0
279.0,North End,Private room,Private room in townhouse,3,1.0,1.0,3,1125,179,366,2.15,4.93,0,1.0,1.0,1.0
322.0,South Boston,Entire home/apt,Entire rental unit,4,2.0,2.0,2,365,314,536,3.34,4.85,0,1.0,1.0,1.0
270.0,South Boston,Entire home/apt,Entire home,4,2.0,2.0,1,150,239,71,0.43,4.59,0,1.0,1.0,1.0
245.0,Dorchester,Entire home/apt,Entire townhouse,4,2.0,3.0,1,365,329,121,0.73,4.36,0,0.0,1.0,2.0
50.0,Dorchester,Private room,Private room in home,1,1.0,1.0,1,365,304,118,0.74,4.66,1,0.0,1.0,0.5
76.0,Jamaica Plain,Private room,Private room in home,2,1.0,1.0,5,90,209,431,2.67,4.84,0,1.0,1.0,1.0
123.0,Dorchester,Entire home/apt,Entire rental unit,5,2.0,2.0,30,365,324,66,0.47,4.67,0,0.0,1.0,1.0
153.0,Dorchester,Entire home/apt,Entire rental unit,6,3.0,3.0,30,365,46,58,0.36,4.43,0,0.0,1.0,1.0
194.0,West Roxbury,Entire home/apt,Entire rental unit,3,2.0,1.0,30,180,363,0,,,0,0.0,1.0,1.0
150.0,West Roxbury,Entire home/apt,Entire rental unit,5,3.0,3.0,30,180,189,43,0.42,4.56,1,0.0,1.0,1.0
251.0,Charlestown,Entire home/apt,Houseboat,6,1.0,4.0,2,1125,319,142,1.29,4.8,1,0.0,0.0,1.0
175.0,Charlestown,Entire home/apt,Entire home,2,1.0,1.0,3,1125,2,199,1.24,4.8,0,1.0,1.0,1.0
208.0,Charlestown,Entire home/apt,Entire rental unit,4,1.0,2.0,2,60,177,521,3.31,4.91,0,1.0,1.0,1.0
621.0,Jamaica Plain,Entire home/apt,Entire home,10,4.0,4.0,3,30,284,93,0.61,4.86,0,1.0,1.0,2.5
116.0,Jamaica Plain,Private room,Private room in rental unit,1,1.0,1.0,2,31,227,317,2.12,4.89,0,1.0,1.0,1.0
55.0,Roslindale,Private room,Private room in condo,2,1.0,2.0,91,1125,365,141,1.15,4.82,0,0.0,0.0,1.0
141.0,Roxbury,Entire home/apt,Entire condo,4,0.0,1.0,3,90,49,74,0.47,4.85,0,1.0,1.0,1.0
449.0,Downtown,Entire home/apt,Entire loft,4,1.0,2.0,2,1125,319,240,1.58,4.97,1,1.0,1.0,2.0
420.0,Roslindale,Entire home/apt,Entire rental unit,8,3.0,4.0,5,730,73,114,0.8,4.88,0,1.0,1.0,2.0
82.0,Roslindale,Private room,Private room in bed and breakfast,2,1.0,1.0,29,1124,184,68,0.47,4.87,0,1.0,1.0,1.5
136.0,West Roxbury,Entire home/apt,Entire rental unit,2,1.0,2.0,4,729,53,113,0.76,4.91,0,1.0,1.0,1.0
182.0,Downtown,Private room,Private room in condo,4,1.0,2.0,91,1125,365,61,0.42,4.76,0,1.0,1.0,1.0
289.0,South End,Entire home/apt,Entire rental unit,2,0.0,1.0,2,365,197,93,0.63,4.86,0,1.0,1.0,1.0
158.0,Jamaica Plain,Entire home/apt,Entire rental unit,2,1.0,1.0,3,180,119,416,2.76,4.85,0,1.0,1.0,1.0
204.0,Back Bay,Private room,Private room in home,1,1.0,1.0,29,365,365,117,0.78,4.63,0,0.0,1.0,1.0
135.0,Mission Hill,Entire home/apt,Entire rental unit,2,1.0,1.0,91,260,262,31,0.21,4.68,0,1.0,1.0,2.0
442.0,Jamaica Plain,Entire home/apt,Entire condo,8,4.0,6.0,2,1125,268,97,0.66,4.74,1,0.0,1.0,2.0
505.0,North End,Entire home/apt,Entire rental unit,6,3.0,3.0,2,30,329,203,1.35,4.79,0,1.0,1.0,1.0
86.0,West Roxbury,Private room,Private room in home,3,1.0,2.0,2,30,354,209,1.39,4.57,0,0.0,1.0,1.0
358.0,South End,Entire home/apt,Entire rental unit,2,1.0,1.0,2,365,123,123,0.83,4.84,0,1.0,1.0,1.0
340.0,Beacon Hill,Entire home/apt,Entire rental unit,2,1.0,2.0,91,180,359,23,0.16,4.45,0,0.0,1.0,1.0
65.0,Charlestown,Private room,Private room in rental unit,1,1.0,1.0,29,62,298,122,0.83,4.7,0,1.0,1.0,1.0
128.0,Brighton,Entire home/apt,Entire guest suite,2,1.0,1.0,2,90,9,303,2.08,4.82,0,1.0,1.0,1.0
56.0,Roxbury,Private room,Private room in townhouse,1,1.0,1.0,30,65,242,27,0.3,4.85,0,1.0,1.0,2.0
124.0,South Boston,Private room,Private room in townhouse,2,1.0,1.0,1,365,45,628,5.39,4.86,0,0.0,1.0,1.0
214.0,Jamaica Plain,Entire home/apt,Entire home,4,2.0,3.0,2,1125,295,326,2.25,4.91,0,1.0,1.0,1.0
112.0,Roslindale,Entire home/apt,Entire loft,2,1.0,1.0,29,365,353,13,0.11,4.92,0,0.0,1.0,1.5
167.0,Roslindale,Entire home/apt,Entire home,4,2.0,2.0,29,365,358,44,0.3,4.61,0,0.0,1.0,1.0
63.0,Dorchester,Private room,Private room in rental unit,2,1.0,1.0,1,28,320,199,1.37,4.89,0,1.0,1.0,1.0
